"paper_id","who_entered","biome","species_num","species_list","study_scale","study_type","study_level","rep_number","growth_metric","gsl_metric","gsl_start_metric","gsl_end_metric","authorsthink_evidence_gslxgrowth","authorsthink_evidence_gslxgrowth_notsure","authorsthink_evidence_gslxgrowth_suitabledays_or_starttoend","authorsthink_teststatistic","authorsthink_ALTteststatistic:","teststatistic_where","youthink_evidence_gslxgrowth","youthink_evidence_gslxgrowth_notsure","ifyouthink_no_why","authorslooked_externalfactors","authorslooked_externalfactors_notsure","authorsfoundevidencefor_externalfactors","authorsfoundevidencefor_externalfactors_notsure","ifyes_whichexternal","authorslooked_endogenousfactors","authorslooked_endogenousfactors_notsure","authorsfoundevidencefor_endogenousfactors","authorsfoundevidencefor_endogenousfactors_notsure","ifyes_whichendogenous","double_entry","excellent_study","big_problems","missing_something_major","notes","notes_specific_columns","paperid","simple.authorsthink.gslxgrowth","simple.wethink.gslxgrowth","simple.growth.metric"
"Gao2022","rdm","multiple",">10","undisclosed","extratropical northern hemispheere, 3451 sites (ITRDB + ITPCAS)","tree ring","merged individuals across sites","3451 sites","annual core","estimated start to estimated end","MAT","first six uniterrupted days after 1 july with mean daily temp <5C","yes in cold humid areas, not in dry areas",NA,"start to end","yes",NA,"fig 2","yes, but their path model is quite weird and may have problems",NA,NA,"yes",NA,"yes",NA,"soil moisture","no",NA,NA,NA,NA,"yes","maybe","unclear SEM design, likely problematic","Individual responses, take into account tree ring limitations and sampling, interesting use of tree ring data at large scale, the path analyses confounds processes which is totally fixable",NA,NA,"gao2022",NA,"unsure","annual core"
"Gao2022","rdm","multiple",">10","undisclosed","extratropical northern hemispheere, 3451 sites (ITRDB + ITPCAS)","tree ring","merged individuals across sites","3451 sites","annual core","estimated start to estimated end","GDD","first six uniterrupted days after 1 july with mean daily temp <5C","yes in cold humid areas, not in dry areas",NA,"start to end","yes",NA,"fig 2","yes, but their path model is quite weird and may have problems",NA,NA,"yes",NA,"yes",NA,"soil moisture","no",NA,NA,NA,NA,"yes","maybe","unclear SEM design, likely problematic","Individual responses, take into account tree ring limitations and sampling, interesting use of tree ring data at large scale, the path analyses confounds processes which is totally fixable",NA,NA,"gao2022",NA,"unsure","annual core"
"Moser2019","rdm","temperate conifer","1","Larix decidua","local,one valley in Switzerland","intra-annual cores (xylogenesis)","across years within individuals","7 locations, 28 trees, elevational gradient","cell development metrics and total number of cells","estimated start to estimated end","needle emergence","ending stem growth","no",NA,NA,NA,NA,"fig 4, fig 5","no",NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no, entered correctly","no","not formal test, small scale","fine work in altitudinal gradient but too local, too vague, no direct test",NA,NA,"moser2019",NA,"no","intra-annual core"
"Moser2019","rdm","temperate conifer","1","Larix decidua","local,one valley in Switzerland","intra-annual cores (xylogenesis)","across years within individuals","7 locations, 28 trees, elevational gradient","cell development metrics and total number of cells","estimated start to estimated end","onset stem growth","ending stem growth","no",NA,NA,NA,NA,"fig 4, fig 5","no",NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no, entered correctly","no","not formal test, small scale","fine work in altitudinal gradient but too local, too vague, no direct test",NA,NA,"moser2019",NA,"no","intra-annual core"
"Sebastian-Azcona2020","rdm","boreal","1","Picea glauca","1 common garden, 24 provenances from all over Canada","","across years within individuals","115 cores","growth anomalies (e.g. Spring frost ring, late frost ring, wood density fluctuations, etc.)","MAT in origin","none","none","no. claim for local adaptation based potentially in latitude/temperature",NA,NA,NA,"MAT in origin as related to adaptation to latitude/temperature","fig 4, fig 5","no",NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no, study is not relevant","no","not formal test","interesting idea of using wood anomalies. Proves adaptation (or maladaptation) by provenances across the range. Cool provenance study. Proves nothing related to GSL",NA,NA,"sebastian-azcona2020",NA,"no","intra-annual core"
"Chen2000","Ailene","temperate forest",NA,"No species listed","countrywide (all of Canada)","ecosystem carbon budget model","across species","100","NPP","""""estimated from spring air temperature record""""","none","none","yes",NA,"suitable days?","yes","yes- N deposition","Table 2, Fig. 7","not sure","they lump all effects of climate change  (including """"growing season length, net N mineralization,  N fixation"""" together in their reporting so it is difficult to pull out only effects of increased GSL)",NA,"yes","yes","yes",NA,"N deposition, climate, gsl, CO2 fertilization, disturbance (fire, harvest) """"During 1895-1996, N deposition was the largest contributor to the nondisturbance effects with a total  contribution of-42%, followed by climate change at -34% and CO2 fertilization at -19% (Table 2)""""","no",NA,"no",NA,NA,"yes","not excellent but interesting modelling study","they lump all effects of climate change  (including """"growing season length, net N mineralization,  N fixation"""" together in their reporting so it is difficult to pull out only effects of increased GSL)","",NA,NA,"chen2000",NA,"unsure","other"
"Stridbeck2022","Ailene","boreal forests","3","Betula pubescens, Picea abies,  Pinus sylvestris(for growth)","tree rings from cores collected from 11 different sites in high latitude and treeline locations in northern Sweden; n per species was 3,4,10, respectively)","tree ring","merged individuals across sites*","17-2783 (varies by species/site)","annual core","plant vegetative phenology","SOS (budburst)","EOS (leaf coloring)","no",NA,"start to end","no",NA,NA,"no",NA,"the authors say """"phenological data of deciduous trees indicates that plant activity starts earlier but does not end later despite an in general later end of the thermal growing season""""","no",NA,"no",NA,NA,"no",NA,NA,NA,NA,"yes","no","they analyzed trends in start vs end of growing season separately, and these were analyzed separately from tree ring data. If these data had been integrated in a different way, the authors could have addressed our question directly","yes. they measured phenology and compared it to tree ring data, but because they 1) used different species across phenology and tree ring components; and 2) did not use raw ring widths (instead using detrended indices that were correlated with different month's temperatures, rather than growing season length)",NA,NA,"stridbeck2022",NA,"no","annual core"
"Zani2020","Ailene","temperate forest","6","Aesculus hippocastanum, Betula pendula, Fagus sylvativa, Larix decidua, Quercus robur, Sorbus aucuparia","tested the degree to which timing of autumn senescence (from long-term obs data in PEP) is determined by preceding seasonal productivity (estimated from a  photosynthesis model)","continental scale obs phenology with model","across individuals","936-3,426 (time series per species)","photosynthesis (total growing-season net daytime photosynthesis, modelled)","plant vegetative phenology","onset vegetative (leafout)","end vegetative (senescence)","no",NA,"start to end","yes","R2, RMSE, Slope of their PIA model vs. other common models that are more focused on growing season length only","Fig. 3, S1, S2, S7","not sure","not sure how photosynthesis relates to growth",NA,"yes",NA,"no",NA,"elevated carbon dioxide, temperature, light, water stress","no",NA,NA,NA,NA,"yes","no","I'm not sure about assumptions of photosynthesis model…","",NA,NA,"zani2020",NA,"unsure","photosynthesis"
"Zani2020","Ailene","temperate forest","2","Fagus sylvatica, Spiraea japonica","greenhouse or chamber experiment","shade manipulation experiments","within individuals","28 Fagus, 31 Spiraea individuals","photosynthesis (Leaf net photosynthesis- CO2 uptake per leaf area- and cumulative seasonal 
photosynthesis rate; measured at leaf- and plant-level)",NA,NA,"end vegetative (senescence)","not sure","I am not sure the authors would say there is NO relationship, but they question the strength of the relationship saying """"spring phenology, growing-season
vapor pressure deficit, summer temperature,and precipitation affect the timing of leaf senescence indirectly, by modifying seasonal photosynthesis, whereas autumn temperature directly affects autumn phenology.""""",NA,NA,"they test for relationship between photosynthesis and senescence date only (not GSL)","Fig. 2, S4","no",NA,"missing SOS so can't provide evidence for growthxgsl","yes",NA,"yes",NA,"shade","yes",NA,"yes",NA,"seasonal photosynthesis affects EOS","yes","no","no start of season or gls nmetrics- experiment ran from June 1 (shortly after all buds in all individuals had unfolded their leaves) until October 1. also they test for relationship between photosynthesis and senescence date only (not GSL)","how does leaf- and plant-level photosynthesis relate to overall growth/biomass?",NA,NA,"zani2020",NA,"no","photosynthesis"
"Zani2020","Ailene","temperate forest","1","Betula","greenhouse or chamber experiment","shade and climate manipulation experiments","across individuals","40","photosynthesis (leaf and plant-level growing-season)",NA,NA,"end vegetative (senescence)","not sure",NA,NA,NA,"they test for relationship between photosynthesis and senescence date only (not GSL)","Fig. 2, S5","no",NA,"missing SOS so can't provide evidence for growthxgsl","yes",NA,"yes",NA,"elevated CO2, temperature","yes",NA,"yes",NA,"seasonal photosynthesis affects EOS","yes","no","they test for relationship between photosynthesis and senescence date only (not GSL)","how does leaf- and plant-level photosynthesis relate to overall growth/biomass?",NA,NA,"zani2020",NA,"no","photosynthesis"
