,hypothesis,,# studies,study names
,earlier-longer-more growth,,17,"camarrero 2022,Chen 2000,cufar2014,Delpierre 2017,DeSauvage 2022,dow2022,Finzi2020,gao 2022,grossiord2022,Keenan 2014,moser 2019,Richardson2020,silvestro2023,SOOLANAYAKANAHALLY 2013,Stridbeck2022,wheeler2016,zhang 2021"
,longer growing season != more growth,,12,"cuny 2012,DeSauvage 2022,francon2020,michelot2012,moser 2019,oddi 2022,ren 2019,Richardson2020,SOOLANAYAKANAHALLY 2013,x,Zani2020,Zohner et al 2023"
,more temp = more drought (drought limitation),,6,"buermann2018,camarrero 2022,DeSauvage 2022,Drew 2018,etzold2021,Kolar 2016"
,species-specific responses,,5,"cuny 2012,etzold2021,McKown 2016,michelot2012,x"
,earlier!= longer growing season,,3,"Delpierre 2017,DeSauvage 2022,SOOLANAYAKANAHALLY 2013"
,carbon fertilization,,2,"Finzi2020,oddi 2022"
,population-specific responses,,2,"Sebastian-Alconza 2020,Vitasse et al. 2009"
,shift in allocation,,1,McKown 2016
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
