"paper_id","continent","year","method","species_list","species_num","age_class","gs_start_metricclean","gs_end_metricclean","gslsimple","growth","growthsimple","gslxgrowthsimple","gsxgrowth","gsxgrowthourdef","authorslooked_externalfactors","authorslooked_endogenousfactors","what.ext","what.endo"
"brand2022","5South.America",2022,"tree ring","Nothofagus pomilio","1","adult","September","April","climate and date","annual core","radial growth","climate and date x radial growth","no","no data for this","yes - growth","no","temperature",NA
"buermann2018","8Northern hemisphere",2018,"remote","no specific species",NA,"adult","Spring temperature","none","not measured","NDVI/greenness","putative C assimilation","not measured x putative C assimilation","not mentioned","no data for this","yes - growth","no","latitude or elevation",NA
"camarero2022","1Europe",2022,"tree ring","Pinus sylvestris, Pinus halepensis","2","adult","leafout","onset of leaf fall","vegtative phenology","annual core","radial growth","vegtative phenology x radial growth","no","no data for this","yes - growth","no","temperature",NA
"chen1998","2North.America",1998,"eddy covariance","Populus tremuloides (dominant), Populus balsamifera, Corylus cornuta (understorey), other shrubs","3","adult","leafout","onset of leaf fall","vegtative phenology","ecosystem fluxes","putative C assimilation","vegtative phenology x putative C assimilation",NA,"not tested but have data","yes - carbon flux","yes - carbon flux","temperature","respiration"
"chen1998","2North.America",1998,"eddy covariance","Populus tremuloides (dominant), Populus balsamifera, Corylus cornuta (understorey), other shrubs","3","adult","leafout","onset of leaf fall","vegtative phenology","photosynthesis","putative C assimilation","vegtative phenology x putative C assimilation",NA,"not tested but have data","yes - photosynthesis","yes - photosynthesis","temperature","respiration"
"chen2000","2North.America",2000,"synthesis",NA,"no spp",NA,"none","none","climate and date","ecosystem fluxes","putative C assimilation","climate and date x putative C assimilation","yes","no data for this","yes - growth","no","temperature & CO2",NA
"cufar2014","1Europe",2014,"tree ring","Fagus sylvatica","1","adult","leafout","end vegetative","vegtative phenology","annual core","radial growth","vegtative phenology x radial growth","no","no","no","no",NA,NA
"cuny2012","1Europe",2012,"tree ring","Picea abies, Pinus sylvestris, Abies alba","3","adult","onset wood","end wood","wood phenology","intra-annual core (xylogeneis)","radial growth","wood phenology x radial growth","yes","yes","no","yes - growth",NA,"age"
"delpierre2017","1Europe",2017,"forest plots: other","Quercus robur, Quercus petraea and Fagus sylvatica ","3","adult","SOS","EOS","vegtative phenology","biomass height stems","biomass height stems","vegtative phenology x biomass height stems","yes","yes","yes - growing season","no","water",NA
"delpierre2017","1Europe",2017,"forest plots: radial growth","Quercus robur, Quercus petraea and Fagus sylvatica ","3","adult","SOS","EOS","vegtative phenology","biomass height stems","biomass height stems","vegtative phenology x biomass height stems","yes","yes","yes - growing season","no","water",NA
