paper_id;who_entered;biome;species_num;species_list;study_scale;study_type;study_level;rep_number;growth_metric;gsl_metric;gsl_start_metric;gsl_end_metric;authorsthink_evidence_gslxgrowth;authorsthink_evidence_gslxgrowth_notsure;authorsthink_evidence_gslxgrowth_suitabledays_or_starttoend;authorsthink_teststatistic;authorsthink_ALTteststatistic:;teststatistic_where;youthink_evidence_gslxgrowth;youthink_evidence_gslxgrowth_notsure;ifyouthink_no_why;authorslooked_externalfactors;authorslooked_externalfactors_notsure;authorsfoundevidencefor_externalfactors;authorsfoundevidencefor_externalfactors_notsure;ifyes_whichexternal;authorslooked_endogenousfactors;authorslooked_endogenousfactors_notsure;authorsfoundevidencefor_endogenousfactors;authorsfoundevidencefor_endogenousfactors_notsure;ifyes_whichendogenous;double_entry;excellent_study;big_problems;missing_something_major;notes;notes_specific_columns
Gao2022;Fredi;Multiple (temperate, boreal);No species listed;ITRDB and ITPCAS;extratropical Northern Hemisphere;tree ring;across species/individuals;not sure;annual core;GDD;SOS;none;yes;NA;NA;yes;NA;Fig 1;yes;NA;NA;yes - growth;NA;yes - growth;NA;mean GDD and mean growing-season precipitation;no;NA;NA;NA;NA;no entered correctly;yes, extremely large scale simple and straightforward. But hard to make further predictions based on species, provenances etc. ;NA;any influence of the EOS on growth;;species_list: no species listed, but they used tree ring series from ITRDB and ITPCAS
Gao2022;Fredi;Multiple (Mediterranian, semi-arid and dry subalpine forests);No species listed;ITRDB and ITPCAS;extratropical Northern Hemisphere;tree ring;across species/individuals;not sure;annual core;GDD;SOS;none;no;NA;NA;yes;NA;Fig 1;no;NA;NA;yes - growth;NA;yes - growth;NA;mean GDD and mean growing-season precipitation;no;NA;NA;NA;NA;no entered correctly;yes, extremely large scale simple and straightforward. But hard to make further predictions based on species, provenances etc. ;NA;any influence of the EOS on growth;;species_list: no species listed, but they used tree ring series from ITRDB and ITPCAS
Moser2019;rdm;temperate conifer;1;Larix decidua;local,one valley in Switzerland;tree ring;across years within individuals;7 locations, 28 trees, elevational gradient;intraannual cores (xylogenesis);plant vegetative phenology (budburst, leafout);onset vegetative;end wood;no;NA;start to end;NA;NA;fig 4, fig 5;no;NA;not formal test, elevational proxy not rigurous;no;NA;NA;NA;NA;no;NA;NA;NA;NA;no, entered correctly;no;not formal test, small scale, gsl calculated with 2 different metrics for start and end;fine work in altitudinal gradient but too local, too vague, no direct test;NA;NA
Sebastian-Azcona2020;rdm;boreal;1;Picea glauca;1 common garden, 24 provenances from all over Canada;provenance trial;across years within individuals;115 cores;growth anomalies (e.g. Spring frost ring, late frost ring, wood density fluctuations, etc.);not measured;none;none;not mentioned;NA;NA;NA;MAT in origin as related to adaptation to latitude/temperature;fig 4, fig 5;no;NA;provenance test, measured anomalies, not gsl treatment;no;NA;NA;NA;NA;no;NA;yes;NA;provenance;no, study is not relevant;no;not formal test;interesting idea of using wood anomalies. Proves adaptation (or maladaptation) by provenances across the range. Cool provenance study. Proves nothing related to GSL;NA;NA
Camarero2022;Fredi;Multiple (Mediterranean and Boreal);2;Pinus sylvestris, Pinus halepensis;2 forests, one in Spain, one in Russia;tree ring (simulated , vs-lite model);across years within individuals;31 individuals, 2 locations;annual core (simulated to intraannual);plant vegetative phenology (budburst, leafout);onset vegetative;onset of leaf fall;no;NA;start to end;NA;NA;fig 2;NA;NA;NA;yes - growth;NA;yes - growth;NA;precipitation;no;NA;NA;NA;NA;yes;no;only 2 locations, very few trees, simulated growth is unreliable (not only dubious model but unable to simulate growth adecuately even at year scale, let alone at intrannual), no validation whatsoever;a measure for the end of the GS. For one species they measure leaf fall which is something but not even clear to me how this is measured in Pines and how important that is!;NA;NA
Chen1998;rdm;boreal;3;Populus tremuloides (dominant), Populus balsamifera, Corylus cornuta (understorey), other shrubs;1 location, 2 years of measurement;whole forest experiment (eddy covariance);across years within individuals;1 location, 2 years, continuous measurement;carbon fluxes;"""the period when the forest was in leaf""";leaf onset probably (undescribed);leaf fall probably (undescribed);yes;NA;start to end;no;increased growth in year with earlier growing season, increased growth via warmer spring conditions;collection of many figures. Fig. 13 probably most relevant;no;NA;gsl measurement not described, no formal test, not enough years to test anything;yes;NA;yes;NA;temperature, precipitation, soil moisture;yes;NA;yes;NA;respiration;no;no;statistical powers is too low, sloppy descriptions, unclear definitions and tests;NA;very interesting approach of related rate vs. length and controlling for confounding factors;NA
Chen1998;rdm;boreal;3;Populus tremuloides (dominant), Populus balsamifera, Corylus cornuta (understorey), other shrubs;1 location, 2 years of measurement;whole forest experiment (eddy covariance);across years within individuals;1 location, 2 years, continuous measurement;photosynthesis;"""the period when the forest was in leaf""";leaf onset probably (undescribed);leaf fall probably (undescribed);yes;NA;start to end;no;increased growth in year with earlier growing season, increased growth via warmer spring conditions;collection of many figures. Fig. 13 probably most relevant;no;NA;gsl measurement not described, no formal test, not enough years to test anything;yes;NA;yes;NA;temperature, precipitation, soil moisture;yes;NA;yes;NA;respiration;no;no;statistical powers is too low, sloppy descriptions, unclear definitions and tests;NA;very interesting approach of related rate vs. length and controlling for confounding factors;NA
Zhu2021;Fredi;temperate forests;1;Fraxinus mandshurica;14 sites within one Mountain range;tree ring;across sites/populations;320 total individuals;annual core;not measured;none;none;yes;NA;NA;no;correlations: pos for temp, neg for Rh;fig 4, 6, 7;no;NA;growing season not measured;yes - growth;NA;yes - growth;NA;Tmin, Tmax, Tmean, relative humidity, precipitation, vpd;no;NA;NA;NA;NA;no study is not very relevant;no, leaf phenology and thus GSL (but in fact any measure of GSL) is clearly missing although very easy and important for this deciduous species. Also important because ring-porous species have differ in wood phenology!;not formal test;any measure of GSL;NA;NA
Zhu2021;Fredi;temperate forests;1;Fraxinus mandshurica;14 sites within one Mountain range;tree ring;across sites/populations;84 total individuals;intra-annual core (xylogeneis);not measured;none;none;yes;NA;NA;no;correlations: pos for temp, neg for Rh;fig 4, 6, 7;no;NA;growing season not measured;yes - growth;NA;yes - growth;NA;Tmin, Tmax, Tmean, relative humidity, precipitation, vpd;no;NA;NA;NA;NA;no study is not very relevant;no, leaf phenology and thus GSL (but in fact any measure of GSL) is clearly missing although very easy and important for this deciduous species. Also important because ring-porous species have differ in wood phenology!;not formal test;any measure of GSL;NA;NA
Ren2019;Fredi;Multiple (boreal and hypearid);2;Pinus ponderosa, Juniperus przewalskii;upper and lower treeline in two regions: Tibetian plateau and Mojave Desert;tree ring;across sites/populations;10 trees, 2 locations;intra-annual core (xylogenesis) ;wood phenology;onset wood;end wood;no;NA;NA;NA;NA;NA;NA;NA;NA;yes - growth;NA;yes - growth;NA;precipitation, min temperature;no;NA;NA;NA;NA;yes;no, no link to leaf phenology and more climatic characterization of the GS;very small replication, definition of growing season maybe circular?;leaf phenoloy ;NA;NA
