paper_id,who_entered,country,biome,species_num,species_list,study_scale,study_type,study_level,rep_number,growth_metric,gsl_metric,gs_start_metric,gs_start_satellite,gs_end_metric,gs_end_satellite,gs_all_metrics_described,gs_metric_used,gs_metric_other,authorsthink_evidence_gsxgrowth,authorsthink_evidence_gsxgrowth_notsure,authorsthink_teststatistic,teststatistic_where,authorsthink_ALTinfo:,youthink_evidence_gsxgrowth,youthink_evidence_gsxgrowth_notsure,ifyouthink_no_why,ourdefinition_evidence_gslxgrowth ,ourdefinition_evidence_gslxgrowth_notsure,authorslooked_externalfactors,authorslooked_externalfactors_notsure,authorsfoundevidencefor_externalfactors,authorsfoundevidencefor_externalfactors_notsure,ifyes_whichexternal,authorslooked_endogenousfactors,authorslooked_endogenousfactors_notsure,authorsfoundevidencefor_endogenousfactors,authorsfoundevidencefor_endogenousfactors_notsure,ifyes_whichendogenous,double_entry,excellent_study,big_problems,missing_something_major,notes,notes_specific_columns
Soolananayakanahally2013,Alana,Canada,Boreal,1,Populus balsamifera,"35 provenances across Canada (full species range), 2 common gardens southern canada",provenance,across sites/populations,525 genotypes,height,plant vegetative phenology ,start height,NA,end height,NA,yes,start to end,NA,yes - growth and growing season,NA,correlation between height growth duration and height,fig 5 (height growth = more height growth) ,NA,yes - growth and growing season,NA,NA,not sure,"span of height growth (in weeks?) this is close to suitable days, but took no breaks if height paused, just total length in weekly units",yes - growth and growing season,NA,yes - growth and growing season,NA,site difference,yes - growth ,NA,yes - growth ,NA,provenance,no,no,cherry picking results,,,
Soolananayakanahally2014,Alana,Canada,Boreal,1,Populus balsamifera,"35 provenances across Canada (full species range), 2 common gardens southern canada",provenance,across sites/populations,525 genotypes, biomass,plant vegetative phenology ,onset vegetative,NA,end vegetative,NA,yes,start to end,NA,negative relationship,NA,anova, pg 121 (biomass higher at short gsl site),NA,no,NA,NA,negative relationship,NA,yes - growth and growing season,NA,yes - growth and growing season (negative gsl growth relationship),NA,site difference,yes - growth ,NA,yes - growth ,NA,provenance,no,no,,,with root:shoot ratio,
Soolananayakanahally2013,Alana,Canada,Boreal,1,Populus balsamifera,four genotypes from six populations,greenhouse or chamber,across individuals,24 individuals,"height,  root:shoot ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes - growth ,NA,yes - growth ,NA,day length,yes - growth ,NA,yes - growth ,NA,provenance,no,no,,,,
Zhang2021,Alana,China,Boreal,1,Juniperus przewlaskii,2 forests tibeten plateau,tree ring,across individuals,5 trees per site,intra-annual core (xylogeneis) ,wood phenology ,onset wood,NA,end wood,NA,yes,start to end,NA,no,NA,no,couldn't find,NA,no,NA,small sample size but I agree with the authors that gsl did not seem to relate to growth,yes,NA,yes - growth and growing season,NA,yes - growth ,NA,timing of rainfall impacts growth not gsl,no,NA,NA,NA,NA,no,no,,,,
Brand2022,Alana,Argentina,temperate treeline,1,Nothofagus pomilio,7 forests Patagonian Andes,tree ring,across years within individuals ,"30 trees per site (210), 2-3 cores per tree",annual core,date,September,NA,April,NA,yes,NA,NA,no,NA,NA,NA,used the same growing season for every year but recorded differences in start temperature,no,NA,measured spring temp but not season length,no data for this,NA,yes - growth ,NA,yes - growth ,NA,temperature at SOS,no,NA,NA,NA,NA,no,no,,,"despite the framing this isn't really a gsl paper, maybe exclude??",
mckown2016,CJC ARC combo,Canada,Boreal,1,Populus trichocarpa,59 individuals from 16 genotypes with latitudinal gradient over latitude 49-56,greenhouse,across individuals,54 individuals from 16 genotypes,height,plant vegetative phenology,onset vegetative,NA,end vegetative,NA,yes,start to end,NA,yes,NA,yes,fig 4,NA,yes,I think it's likely but impossible to know for sure without more details on budburst,NA,yes,NA,yes - growth ,NA,no,NA,latitude,yes - growth ,NA,no,NA," no for latitude and bud burst timing and lammas are not realted to growth allocation, early buds = height, late buds = more roots",no,no,"overall I would say the results were unclear, in terms of growth and only clear for allocational shift. They present it as growth, but I can't find where the evidence is that there was more on trhe whole",,could say that BC is temperate not Boreal??,
mckown2016,CJC ARC combo,Canada,Boreal,1,Populus trichocarpa,60 individuals from 16 genotypes with latitudinal gradient over latitude 49-56,greenhouse,across individuals,54 individuals from 16 genotypes,biomass,plant vegetative phenology,onset vegetative,NA,end vegetative,NA,yes,start to end,NA,no,growing season length alters growth allocation height vs biomass,yes,fig 3a,NA,no,I think it's likely but impossible to know for sure without more details on budburst,increase not demonstrated,no,NA,yes - growth ,NA,no,NA,latitude,yes - growth ,NA,no,NA," no for latitude and bud burst timing and lammas are not realted to growth allocation, early buds = height, late buds = more roots",no,no,"overall I would say the results were unclear, in terms of growth and only clear for allocational shift. They present it as growth, but I can't find where the evidence is that there was more on trhe whole",,could say that BC is temperate not Boreal??,
mckown2016,CJC ARC combo,Canada,Boreal,1,Populus trichocarpa,61 individuals from 16 genotypes with latitudinal gradient over latitude 49-56,greenhouse,across individuals,54 individuals from 16 genotypes,root:shoot ratio,plant vegetative phenology,onset vegetative,NA,end vegetative,NA,yes,start to end,NA,yes,"growing season length alters growth allocation height vs biomass, biomass increase was in roots",yes,fig 3b,NA,no,unclear if total mass was higher???,NA,yes,NA,yes - growth ,NA,no,NA,latitude,yes - growth ,NA,no,NA," no for latitude and bud burst timing and lammas are not realted to growth allocation, early buds = height, late buds = more roots",no,no,"overall I would say the results were unclear, in terms of growth and only clear for allocational shift. They present it as growth, but I can't find where the evidence is that there was more on trhe whole",,could say that BC is temperate not Boreal??,
desauvage2022,CJC ARC combo,France,temperate forest,1,Quercus petraea,9 populations along an elevational gradient of 1500 m in the French,tree ring,across sites/populations across years within individuals,25-30 trees per site,ring width,plant vegetative phenology,onset vegetative (leaf unfolding),NA,end vegetative (leaf coloration),NA,yes,start to end,NA,no,"yes high elevation, negative association low elevation",NA,"fig 4,Table A4 and A5",yes - for temperature x latitude relationships with radial growth,no,NA,there's no relationship between phenology and radial growth,no,NA,yes - growth ,NA,yes - growth ,NA,"temperature, GDD",yes - growth ,NA,yes - growth ,individual trees had internally consistent timing,elevation,no,no,,,"they found no relationship between phenology and radial growth but they found that higher temps at higher elevations lead to increased radial growth, whereas higher temps at lower elevations decreased growth, likely due to water availability, seem to have used nlme models but do not say where or what form, took partial derivative of their mixed model, but don't say with respect to what X",
Keenan et al 2014,Alana,USA,temperate forest,NA,NA,Eastern US forests,"remote sensing, flux tower",across species,"2 sites had measurements of individual trees, N not given",carbon flux,satellite derived,NA,"MODIS, NDVI, EVI",NA,"MODIS, NDVI, EVI","no, cutoffs not given",start to end,NA,yes,"different greeness metrics gave different resluts and they never do say what they considered SOS and EOS, just that it matched up with phenology obervations from Harvard forest",maybe? I can't find a direct test,NA,NA,no,NA,"flux doesn't equal growth, just assimilation",not sure,are we counting flux?,yes - growth and growing season,NA,yes - growth and growing season,NA,temp,no,NA,NA,NA,NA,no,no,,"stats were a hot mess, not sure what the tests were",if we count assimilation as growth then yes???,
