paper_id;who_entered;biome;species_num;species_list;study_scale;study_type;study_level;rep_number;growth_metric;gsl_metric;gsl_start_metric;gsl_end_metric;authorsthink_evidence_gslxgrowth;authorsthink_evidence_gslxgrowth_notsure;authorsthink_evidence_gslxgrowth_suitabledays_or_starttoend;authorsthink_teststatistic;authorsthink_ALTteststatistic:;teststatistic_where;youthink_evidence_gslxgrowth;youthink_evidence_gslxgrowth_notsure;ifyouthink_no_why;authorslooked_externalfactors;authorslooked_externalfactors_notsure;authorsfoundevidencefor_externalfactors;authorsfoundevidencefor_externalfactors_notsure;ifyes_whichexternal;authorslooked_endogenousfactors;authorslooked_endogenousfactors_notsure;authorsfoundevidencefor_endogenousfactors;authorsfoundevidencefor_endogenousfactors_notsure;ifyes_whichendogenous;double_entry;excellent_study;big_problems;missing_something_major;notes;notes_specific_columns
Gao2022;rdm;multiple;>10;undisclosed;extratropical northern hemispheere, 3451 sites (ITRDB + ITPCAS);tree ring;merged individuals across sites;3451 sites;annual core;estimated start to estimated end;MAT;first six uniterrupted days after 1 july with mean daily temp <5C;yes in cold humid areas, not in dry areas;NA;start to end;yes;NA;fig 2;yes, but their path model is quite weird and may have problems;NA;NA;yes;NA;yes;NA;soil moisture;no;NA;NA;NA;NA;yes;maybe;unclear SEM design, likely problematic;Individual responses, take into account tree ring limitations and sampling, interesting use of tree ring data at large scale, the path analyses confounds processes which is totally fixable;;
Gao2022;rdm;multiple;>10;undisclosed;extratropical northern hemispheere, 3451 sites (ITRDB + ITPCAS);tree ring;merged individuals across sites;3451 sites;annual core;estimated start to estimated end;GDD;first six uniterrupted days after 1 july with mean daily temp <5C;yes in cold humid areas, not in dry areas;NA;start to end;yes;NA;fig 2;yes, but their path model is quite weird and may have problems;NA;NA;yes;NA;yes;NA;soil moisture;no;NA;NA;NA;NA;yes;maybe;unclear SEM design, likely problematic;Individual responses, take into account tree ring limitations and sampling, interesting use of tree ring data at large scale, the path analyses confounds processes which is totally fixable;;
Moser2019;rdm;temperate conifer;1;Larix decidua;local,one valley in Switzerland;intra-annual cores (xylogenesis);across years within individuals;7 locations, 28 trees, elevational gradient;cell development metrics and total number of cells;estimated start to estimated end;needle emergence;ending stem growth;no;NA;NA;NA;NA;fig 4, fig 5;no;NA;NA;no;NA;NA;NA;NA;no;NA;NA;NA;NA;no, entered correctly;no;not formal test, small scale;fine work in altitudinal gradient but too local, too vague, no direct test;;
Moser2019;rdm;temperate conifer;1;Larix decidua;local,one valley in Switzerland;intra-annual cores (xylogenesis);across years within individuals;7 locations, 28 trees, elevational gradient;cell development metrics and total number of cells;estimated start to estimated end;onset stem growth;ending stem growth;no;NA;NA;NA;NA;fig 4, fig 5;no;NA;NA;no;NA;NA;NA;NA;no;NA;NA;NA;NA;no, entered correctly;no;not formal test, small scale;fine work in altitudinal gradient but too local, too vague, no direct test;;
Sebastian-Azcona2020;rdm;boreal;1;Picea glauca;1 common garden, 24 provenances from all over Canada;;across years within individuals;115 cores;growth anomalies (e.g. Spring frost ring, late frost ring, wood density fluctuations, etc.);MAT in origin;none;none;no. claim for local adaptation based potentially in latitude/temperature;NA;NA;NA;MAT in origin as related to adaptation to latitude/temperature;fig 4, fig 5;no;NA;NA;no;NA;NA;NA;NA;no;NA;NA;NA;NA;no, study is not relevant;no;not formal test;interesting idea of using wood anomalies. Proves adaptation (or maladaptation) by provenances across the range. Cool provenance study. Proves nothing related to GSL;;
Camarero2022;rdm;boreal, mediterranean;2;Pinus sylvestris, Pinus halepensis;comparison between two contrasting sites;simulated tree ring (vs-lite model);merged individuals across sites;31 individuals, 2 locations;annual core (simulated to intraannual);onset of leaf to onset of fall (1 species only);leaf onset;onset of leaf fall;no;NA;start to end;NA;NA;fig 2;no;NA;NA;no;NA;NA;NA;NA;no;NA;NA;NA;NA;yes;no;only 2 locations, very few trees, simulated growth is unreliable (not only dubious model but unable to simulate growth adecuately even at year scale, let alone at intrannual), no validation whatsoever;;;
Chen1998;rdm;boreal;3;Populus tremuloides (dominant), Populus balsamifera, Corylus cornuta (understorey), other shrubs;1 location, 2 years of measurement;whole forest experiment (eddy covariance);merged individuals across sites;2 locations, 2 years, continuous measurement;carbon fluxes;"""the period when the forest was in leaf""";leaf onset probably (undescribed);leaf fall probably (undescribed);yes;NA;suitable days;no;increased growth in year with earlier growing season, increased growth via warmer spring conditions;collection of many figures. Fig. 13 probably most relevant;yes, but very limited temporal and spatial replication;NA;NA;yes;NA;yes;NA;temperature, precipitation;yes;NA;yes;NA;respiration, soil moisture;maybe;maybe;NA;replication, sample size enough to relate growing season and carbon, better description of growing season estimates;;
Chen1998;rdm;boreal;3;Populus tremuloides (dominant), Populus balsamifera, Corylus cornuta (understorey), other shrubs;1 location, 2 years of measurement;whole forest experiment (eddy covariance);merged individuals across sites;2 locations, 2 years, continuous measurement;photosynthesis;"""the period when the forest was in leaf""";leaf onset probably (undescribed);leaf fall probably (undescribed);yes;NA;suitable days;no;increased growth in year with earlier growing season, increased growth via warmer spring conditions;collection of many figures. Fig. 13 probably most relevant;yes, but very limited temporal and spatial replication;NA;NA;yes;NA;yes;NA;temperature, precipitation;yes;NA;yes;NA;respiration, soil moisture;maybe;maybe;NA;replication, sample size enough to relate growing season and carbon, better description of growing season estimates;;
Zhu2021;rdm;temperate mixed;1;Fraxinus mandshurica;14 sites;tree ring;across individuals and sites;320 individuals;annual core;none;none;none;yes;NA;unsure;no;positive correlation with spring temperature, negative correlation with moisture, both increased in recent years (with warmer drier springs);fig 4, fig 7;no;NA;growing season not measured;yes;NA;yes;NA;temperature, relative humidity, precipitation, vpd;no;NA;NA;NA;NA;no, entered correctly;no;not formal test;NA;similar to many other dendro papers, the physiological part is neat, interesting they propose a model of growth limitations but it is not clear to me;
Zhu2021;rdm;temperate mixed;1;Fraxinus mandshurica;14 sites;intra-annual cores (xylogenesis);across individuals and sites;84 individuals;quantitative wood anatomy;none;none;none;yes;NA;unsure;no;positive correlation with spring temperature, negative correlation with moisture, both increased in recent years (with warmer drier springs);fig 4, fig 7;no;NA;growing season not measured;yes;NA;yes;NA;temperature, relative humidity, precipitation, vpd;no;NA;NA;NA;NA;no, entered correctly;no;not formal test;NA;similar to many other dendro papers, the physiological part is neat, interesting they propose a model of growth limitations but it is not clear to me;
