paper_id,who_entered,country,biome,species_num,species_list,study_scale,study_type,study_level,rep_number,growth_metric,gsl_metric,gs_start_metric,gs_start_satellite,gs_end_metric,gs_end_satellite,gs_all_metrics_described,gs_metric_used,gs_metric_other,authorsthink_evidence_gsxgrowth,authorsthink_evidence_gsxgrowth_notsure,authorsthink_teststatistic,teststatistic_where,authorsthink_ALTinfo:,youthink_evidence_gsxgrowth,youthink_evidence_gsxgrowth_notsure,ifyouthink_no_why,ourdefinition_evidence_gslxgrowth ,ourdefinition_evidence_gslxgrowth_notsure,authorslooked_externalfactors,authorslooked_externalfactors_notsure,authorsfoundevidencefor_externalfactors,authorsfoundevidencefor_externalfactors_notsure,ifyes_whichexternal,authorslooked_endogenousfactors,authorslooked_endogenousfactors_notsure,authorsfoundevidencefor_endogenousfactors,authorsfoundevidencefor_endogenousfactors_notsure,ifyes_whichendogenous,double_entry,excellent_study,big_problems,missing_something_major,notes,notes_specific_columns,,
Finzi2020,AKE&JHRL,USA,temperate deciduous forest,4,"Acer rubra, Quercus rubra, Pinus strobus, Tsuga canadensis","100's of plots, flux towers, and warming experiment data at Harvard Forest ( long-term ecological research site), in four different locations collectively covering ~ 40 km2, ",synthesis,across years within sites,23,"NEP (net ecosystem production, calculated from flux towers)",not measured,Onset ecosystem productivity (first day daily NEP crosses 30% of maximum - from fluxnet data),NA,End ecosystem productivity (first day daily NEP goes below 30% of maximum - from fluxnet data),NA,yes,start metric only,NA,yes,NA,yes,"Fig 13, pg 19",NA,yes,NA,NA,not tested but have data,NA,no,NA,NA,NA,NA,yes,NA,yes,NA,differences in relationship between SOS and spring NEP due to species composition of the site,,"no - not for our purposes. They were interested in understanding the carbon budget and how it changed over time in Harvard Forest, so they did end up pulling together a lot of data relevant to this question. They did test for relationships between spring / autum GS and spring / autumn NEP, and both relationships suggest longer growing seasons lead to greater NEP. They also compiled tree ring records and assessed whether warmer months lead to greater ringwidth for two species.",They used fluxnet data to derive both growth and gs metrics,"I wish they had directly quantified the relationship between growing season length (as they defined from NEP) and GPP, they assumed it from time-GPP and time-GSL, as well as SOS spring NEP and EOS autumn NEP relationships… They also had some information on SOS and EOS from long-term phenological observations of 9 trees, and I think they could have done more with that if they also had growth rates (see page 10, figs. 9 and 11)",,,,
Finzi2020,AKE&JHRL,USA,temperate deciduous forest,4,"Acer rubra, Quercus rubra, Pinus strobus, Tsuga canadensis","100's of plots, flux towers, and warming experiment data at Harvard Forest ( long-term ecological research site), in four different locations collectively covering ~ 40 km2, ",synthesis,across years within sites,23,"NEP (net ecosystem production, calculated from flux towers)",not measured,Onset ecosystem productivity (first day daily NEP crosses 30% of maximum - from fluxnet data),NA,End ecosystem productivity (first day daily NEP goes below 30% of maximum - from fluxnet data),NA,yes,end metric only,NA,yes,NA,yes,"Fig 13, pg 19",NA,yes,NA,NA,not tested but have data,NA,no,NA,NA,NA,NA,yes,NA,yes,NA,differences in relationship between EOS and autumn NEP due to species composition of the site,,"no - not for our purposes. They were interested in understanding the carbon budget and how it changed over time in Harvard Forest, so they did end up pulling together a lot of data relevant to this question. They did test for relationships between spring / autum GS and spring / autumn NEP, and both relationships suggest longer growing seasons lead to greater NEP. They also compiled tree ring records and assessed whether warmer months lead to greater ringwidth for two species.",They used fluxnet data to derive both growth and gs metrics,"I wish they had directly quantified the relationship between growing season length (as they defined from NEP) and GPP, they assumed it from time-GPP and time-GSL, as well as SOS spring NEP and EOS autumn NEP relationships… They also had some information on SOS and EOS from long-term phenological observations of 9 trees, and I think they could have done more with that if they also had growth rates (see page 10, figs. 9 and 11)",,,,
Stridbeck2022,AKE&JHRL,Sweden,northern deciduous and coniferous forest,6,"Pinus sylvestris (Scots pine), Norway spruce (Picea abies), Downy birch (Betula pubescens), European beech (Fagus sylvatica), European oak (Quercus robur), Betula pendula (Silver birch). First three species were used for tree ring analyses, all species for phenology assessment, but birch data merged.",All of Sweden (phenological observations); latitudinal transect in northern half of Sweden (tree ring chronologies),tree ring  ,merged individuals within sites across year,"For tree ring data: 4, 3, and 10 chronologies (each chronology with an unspecificied number of individual trees cored) for Norway spruce, Betula pubescens, and Pinus sylvestris (respectively). Phenology data: 13633 observations between 1873-1951 collected at 634 locations and 18555 observations collected between 2008-2021 at 6867 locations. Table A1 and A2 have replicates",annual core,plant vegetative phenology,budburst,NA,leaf coloring,NA,yes,start metric only,NA,not mentioned,NA,NA,NA,NA,no,NA,"several reasons - they didn't correlate their GS metrics (from phenology observations) with their growth metrics (from tree cores), and they standardized their growth metrics (from cores)",not tested but have data,NA,yes - growth,NA,yes - growth,NA,temperature,no,NA,NA,NA,NA,,no,They standardized the tree ring data (typical dendro) making it difficult to assess relationships between temperature and growth. They also never correlated their GS metrics with growth,"yes. they measured phenology and compared it to tree ring data, but because they 1) used different species across phenology and tree ring components; and 2) did not use raw ring widths (instead using detrended indices that were correlated with different month's temperatures, rather than growing season length)","Interestingly, they find that the shifts in autumn phenology are much more variable and in many cases different than expected (shifts to earlier senescence rather than later). While these impacts are not as large as effects on budburst, so that GSL based on phenology is increasing as expected, it does suggest some sort of constraint, external or endogenous, on GSL that presumably would also impact growth.",species_num & species_list: they looked at tree ring data for 3 species and phenology data for 6 species (the same three species + 3 others),,
Stridbeck2022,AKE&JHRL,Sweden,northern deciduous and coniferous forest,6,"Pinus sylvestris (Scots pine), Norway spruce (Picea abies), Downy birch (Betula pubescens), European beech (Fagus sylvatica), European oak (Quercus robur), Betula pendula (Silver birch). First three species were used for tree ring analyses, all species for phenology assessment, but birch data merged.",All of Sweden (phenological observations); latitudinal transect in northern half of Sweden (tree ring chronologies),tree ring  ,merged individuals within sites across year,"For tree ring data: 4, 3, and 10 chronologies (each chronology with an unspecificied number of individual trees cored) for Norway spruce, Betula pubescens, and Pinus sylvestris (respectively). Phenology data: 13633 observations between 1873-1951 collected at 634 locations and 18555 observations collected between 2008-2021 at 6867 locations. Table A1 and A2 have replicates",annual core,plant vegetative phenology,budburst,NA,leaf coloring,NA,yes,end metric only,NA,not mentioned,NA,NA,NA,NA,no,NA,"several reasons - they didn't correlate their GS metrics (from phenology observations) with their growth metrics (from tree cores), and they standardized their growth metrics (from cores)",not tested but have data,NA,yes - growth,NA,yes - growth,NA,temperature,no,NA,NA,NA,NA,,no,They standardized the tree ring data (typical dendro) making it difficult to assess relationships between temperature and growth. They also never correlated their GS metrics with growth,"yes. they measured phenology and compared it to tree ring data, but because they 1) used different species across phenology and tree ring components; and 2) did not use raw ring widths (instead using detrended indices that were correlated with different month's temperatures, rather than growing season length)","Interestingly, they find that the shifts in autumn phenology are much more variable and in many cases different than expected (shifts to earlier senescence rather than later). While these impacts are not as large as effects on budburst, so that GSL based on phenology is increasing as expected, it does suggest some sort of constraint, external or endogenous, on GSL that presumably would also impact growth.",species_num & species_list: they looked at tree ring data for 3 species and phenology data for 6 species (the same three species + 3 others),,
Zani2020,AKE&JHRL,"German, Switzerland, Austria",temperate deciduous forest,6,"Aesculus hippocastanum, Betula pendula, Fagus sylvatica, Quercus robur, Larix decidua, Sorbus aucuparia","Germany, Switzerland, Austria",permanent plot,across years within individuals,"434,226 observations, 14626 individual time series between 1948 and 2015 (see supplement for number of time series per species)","photosynthesis (total growing-season net daytime photosynthesis, modelled)",not measured,onset vegetative (leafout),NA,end vegetative (senescence),NA,yes,end metric only,NA,not mentioned,NA,NA,NA,NA,no,NA,"they did not explore link between GSL and growth, instead, looked at the relationship between photosynthetic activity (growth), spring phenology, and autumn senesence. So they really did not explore how GSL influenced productivity (although they could have) and because they used photosynthetic activity as a explanatory variable for the response variable autumn senescence",not tested but have data,NA,yes - length of growing season,NA,yes - length of growing season,NA,"temperature (summer, autumn), CO2",yes,NA,yes,NA,greater photosynthesis early in the growing season is associated with earlier senescence,,"no - there are some really interesting patterns (this was really similar to the Zohner paper) but their main question was not related to how GS metrics affected growth, and seemed a bit circular (how does early season phenology affect late season phenology, how does productivity affect late season phenology)",We weren't sure about assumptions of photosynthesis model.,"We  really wished they had looked at the entire length of the growing season rather than just autumn senescence, and related GSL to their growth / photosynthesis measure (rather than photosynthesis and early season phenology to autumn senescence - this seems odd). ",check fig. 1 in the paper,,,
Zani2020,AKE&JHRL,Germany,temperate deciduous forest,2,"Fagus sylvatica, Spirea japonica",One common garden (Munich Botanical garden),common garden,"across individuals, within individuals","28 Fagus, 31 Spirea (5 year old sapling / seedlings)",photosynthesis; measured at leaf level,not measured,none,NA,"end vegetative (leaf fluorescence, and percentage leaf abscission)",NA,yes,end metric only,NA,not mentioned,NA,NA,NA,NA,no,NA,"they did not explore the link between their end of season growting season metric and growth, only the link between shade and senescence",no data for this,NA,yes - length of growing season,NA,yes - length of growing season,NA,sun vs. shade,yes,NA,yes,NA,greater photosynthesis early in the growing season is associated with earlier senescence,,"no - There are some really interesting patterns (this was really similar to the Zohner paper) but their main question was not related to how GS metrics affected growth, and seemed a bit circular (how does early season phenology affect late season phenology, how does productivity affect late season phenology)",They did not measure budburst although they could have.,"We  really wished they had looked at the entire length of the growing season rather than just autumn senescence, and related GSL to their growth / photosynthesis measure (rather than photosynthesis and early season phenology to autumn senescence - this seems odd). ","check fig 2B and C, first 2 columns",,,
Zani2020,AKE&JHRL,Switzerland,temperate deciduous forest,1,Betula pendula,"One common garden (CHN terrace, central Switzerland)",greenhouse or chamber (technically CHN terrace),across individuals,40 individuals,photosynthesis; measured at leaf level,not measured,none,NA,"end vegetative (leaf fluorescence, and percentage leaf abscission)",NA,yes,end metric only,NA,not mentioned,NA,NA,NA,NA,no,NA,"they did not explore the link between their end of season growting season metric and growth, only the link between temperature and CO2 and senescence",no data for this,NA,yes - length of growing season,NA,yes - length of growing season,NA,"CO2, warming and their interaction",yes,NA,yes,NA,greater photosynthesis early in the growing season is associated with earlier senescence,,"no - there are some really interesting patterns (this was really similar to the Zohner paper) but their main question was not related to how GS metrics affected growth, and seemed a bit circular (how does early season phenology affect late season phenology, how does productivity affect late season phenology)",They didn't measure budburst although they could have.,"We  really wished they had looked at the entire length of the growing season rather than just autumn senescence, and related GSL to their growth / photosynthesis measure (rather than photosynthesis and early season phenology to autumn senescence - this seems odd). ","check fig 2B and C, last 3 columns",,,
Vitasse2009,AKE&JHRL,France,temperate deciduous forest,6,"Abies alba, Acer pseudoplatanus, Fagus sylvatica, Fraxinus excelsior, Ilex aquifolium, Quercus petraea","seeds on average from 9 provenances for each species (ranging from 6-13 depending on species) located along 2 elevational gradients in the Pyrenees (French side), planted in 1 common garden at sea level in SW France",provenance trial,across individuals,25 individuals per provenance,height,plant vegetative phenology,onset vegetative,NA,end vegetative (leaf senescence),NA,yes,start to end,NA,yes,NA,yes,Table 3,"they found that GSL had either no significant relationship (n=2) or a positive relationship with growth (n=2), depending on the species; only tested for 4 spp",yes,NA,NA,yes,NA,no,NA,NA,NA,NA,yes,NA,yes,NA,"provenance. Specifically they found evidence that provenances differed in both growth and phenology, but they did not test the gsl x growth (table 3) at the provenace level",yes,yes - they are one of the few studies that actually correlated gsl and growth!,no,"In an ideal world, it would have been cool to replicate their common garden in a lot of different places, so they could explore how climatic differences (across sites) interact with local adaptation (provenance) to climate to control growth. Or manipulating climate with warming and watering, to explose the same provenances to longer growing seasons and / or differences in water availability would also have been cool ",,"gsl_metric: The authors conducted tests using GSL, but also conducted separate tests using leafout and sensecne as explanatory variables. We have not entered these as separate rows, but these could be.",,
Chen2000,AKE&JHRL,Canada,temperate forest ,no species listed,NA,All of Canada,synthesis,across years,100,NPP (from InTEC - integrated terrestrial ecosystem carbon budget),spring (mar-may) temperature,none,NA,none,NA,"no (they say NPP is estimated from spring temperature records, and projected changes to spring temperature for climate change, but the relationships between these is unclear. Could be suitable days?)",time with growth estimated (from mar-may temperature records),NA,yes,NA,yes,"Table 2, Fig. 7","The authors used their model (which includes temperature, n-deposition, CO2 and disturbance as explanatory variables for NPP) to calculate the contribution of climate change / a warmer spring on NPP, and found that NPP & carbon balanace had increased due to climate change.",no,NA,"their results are based on an ecosystem model. While that model was parameterized with a lot of data (e.g. time series of temperature, CO2, etc), the underlying link between temperature (growing season from their point of view) and NPP is based on the model - which includes assumptions about how climate, N and CO2 (positively) contribute to photosynthesis (Farquhar model), and how other factors (disturbance) reduce it.",no data for this,NA,yes - growth,NA,yes - growth,NA,"temperature, CO2, N, disturbance",no,NA,NA,NA,NA,,no - but our question wasn't the goal of their study, it wasn't really explained well enough to fully assess the assumptions and data ,"This study wasn't super relevant to our specific question, so not much to say here (without asking for a whole scale change in the entire study).",,,,
Zohner2020,AKE&JHRL,"global, but phenology data mainly from Germany, Switzerland, Austria ",temperate and boreal forest,3 functional types,"BSI (broad leaved summer green shade-intolerant), BST (broad-leaved summer-green shade-tolerant), NS (needle-leaved summer green)",global (above 23 degrees laritude),synthesis,across years,150 years (1850-2099),NPP,plant vegetative phenology,onset vegetative,NA,none,NA,yes,start metric only,NA,yes,NA,yes,Fig 5,They demonstrated that an earlier SOS lead to greater NPP (Based on output of a ecosystem model),no,NA,only looked at SOS (not GSL),,no data for this,yes - length of growing season,NA,yes - length of growing season,NA,"autumn temperature, winter chilling, spring temperature",yes,NA,yes,NA,functional types,,no,does not include effects of end of season changes on NPP in analysis or forecasting,missing end of season trends with warming,,,,
