paper_id,who_entered,country,biome,species_num,species_list,study_scale,study_type,study_level,rep_number,growth_metric,gsl_metric,gs_start_metric,gs_start_satellite,gs_end_metric,gs_end_satellite,gs_all_metrics_described,gs_metric_used,gs_metric_other,authorsthink_evidence_gsxgrowth,authorsthink_evidence_gsxgrowth_notsure,authorsthink_teststatistic,teststatistic_where,authorsthink_ALTinfo:,youthink_evidence_gsxgrowth,youthink_evidence_gsxgrowth_notsure,ifyouthink_no_why,ourdefinition_evidence_gslxgrowth ,ourdefinition_evidence_gslxgrowth_notsure,authorslooked_externalfactors,authorslooked_externalfactors_notsure,authorsfoundevidencefor_externalfactors,authorsfoundevidencefor_externalfactors_notsure,ifyes_whichexternal,authorslooked_endogenousfactors,authorslooked_endogenousfactors_notsure,authorsfoundevidencefor_endogenousfactors,authorsfoundevidencefor_endogenousfactors_notsure,ifyes_whichendogenous,double_entry,excellent_study,big_problems,missing_something_major,notes,notes_specific_columns
dow2022,emw_withkp,USA,temperate forests,13,"Acer, Betula, Fagus, Fraxinus, Liriodendron, Prunus, Quercus",2 experimental forests in US Northeast,permanent plot,across years within individuals,440 total; n = 119 trees from 2011 to 2020 for HF; 321 trees from 1998 to 2003,dendrometer diameter,climate related to satellite phenology data,Tmax during CTW (window of spring time),NA,none,NA,yes,start metric only,NA,no,NA,yes,Fig 1. Found weak and inconsistent relationships between Tmax during CTW (window of spring time) and change in DBH and max growth,NA,no,NA,"I agree with their no, but they use weird metrics and do not directly link their phenology and growth",not tested but have data (satellite phenology),NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,done,"Sadly no, because they never actually test the GSL to growth link. ",,"Did not correlate phenology and growth; correlated something like spring phenology sensitivity (they call it CTW, see bottom right pg 554) with growth (multiple metrics)",,
dow2022,emw_withkp,USA,temperate forests,24,"Acer, Betula, Carya, Fagus, Fraxinus, Liriodendron, Magnolia, Nyssa, Populus, Quercus",2 experimental forests in US Northeast,permanent plot,across years within individuals,207 chronologies,annual core,none,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes - growth,NA,yes,NA,high summer temperatures,no,NA,NA,NA,NA,done,See other row of data for this paper,,,"This is followup to their phenology x dendrometer part of the paper, they used tree rings to look at lots of correlations.",
Silvestro2023,emw_withkp,Canada,temperate forests,1,Abies balsamia,"1 experimental forest (Montmorency Forest, Quebec)",tree ring,within individuals for < 1 year (April to October 2018),27,intra-annual core (xylogeneis),wood phenology,onset wood,NA,end wood,NA,yes,start to end,"start metric, end metric",no,NA,yes,Fig 5,NA,yes,NA,NA,no,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,sample size,,"More data people; but This one was really interesting because they looked at cell number and cell size of early and late wood formation and came to the conclusion that longer growing season means increased number of cells, but not increased biomass ",
Silvestro2023,emw_withkp,Canada,temperate forests,1,Abies balsamia,"1 experimental forest (Montmorency Forest, Quebec)",tree ring,within individuals for < 1 year (April to October 2018),27,cell production (number of cells),wood phenology,onset wood,NA,end wood,NA,yes,start to end,"start metric, end metric",yes,NA,yes,"Fig 5, pg 4",NA,yes,NA,NA,yes,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,,,,
Etzold2021,emw,Switzerland,temperate forests,7,"Picea abies, Pinus sylvestris, Abies alba, Fagus sylvatica, Fraxinus excelsior, Quercus petraea, Quercus pubesence",27 sites (TreeNet),permanent plot,across years within individuals,70,dendrometer,wood phenology,onset wood,NA,end wood,NA,yes,start to end,"start of growth, end of growth",no,NA,yes,Fig 4,NA,no,NA,"agree with authors that they do not see a relationship (Fig 4 shows no relationship with SOS, EOS or GSL)",no,NA,yes - growth,NA,yes - growth,NA,"VPD, SWP, Temp, Precip",yes - growth,NA,yes - growth,NA,"daylength, species",yes,They directly looked at growth X gsl,"Using the number of growing days to look at growth seems weird to mee (I remember folks talking about it during previous group meetings, but now it makes sense and I agree that it's weird)",,,
Etzold2021,emw,Switzerland,temperate forests,7,"Picea abies, Pinus sylvestris, Abies alba, Fagus sylvatica, Fraxinus excelsior, Quercus petraea, Quercus pubesence",27 sites across Switzerland (TreeNet),permanent plot,across years within individuals,70,dendrometer,wood phenology,onset wood,NA,end wood,NA,yes,time with growth observed,NA,yes,NA,yes,Fig 4,NA,yes,NA,NA,no data for this,NA,yes - growth,NA,yes - growth,NA,"VPD, SWP, Temp, Precip",yes - growth,NA,yes - growth,NA,"daylength, species",yes,They directly looked at growth X gsl,"Using the number of growing days to look at growth seems weird to mee (I remember folks talking about it during previous group meetings, but now it makes sense and I agree that it's weird)",,,
grossiord2022,emw_withkp,Switzerland,temperate fores,2,"Fagus sylvatica, Quercus pubesence",16 open top chambers with two 2-year old saplings each,greenhouse or chamber,across individuals ,"4 chambers per treatment, 24 trees per species",modelled carbon uptake (SPAC); as well as components of photosynthesis that went into (A_tot) and stomatal conductance,plant vegetative phenology,leafout,NA,50% leaf coloring,NA,yes,start to end,end metric,yes,NA,yes,Fig 3 (but see also text and Fig 4),NA,yes,NA,NA,yes,NA,yes - growth,NA,yes - growth,NA,reduced soil moisture,no,NA,NA,NA,NA,yes,"yes, very relevant experiment!","modeled carbon, no other growth metric beyond messy height and DBH ",,,authorslooked_endogenousfactors; not sure if Fig 4 relates to what we might call endogenous
bruening2017,emw,USA,Great Basin pine ,2,"Pinus longaeva, Pinus balfouriana",regional,model,regional model of treeline,notsure,not measured,all days with an average daily temperature above DTMIN,min temp,NA,min temp,NA,yes,start to end,NA,not sure,they assume it,model output of treeline allowed them to estimate the number of suitable days needed for growth for this species; no real tests,table 2,NA,no,NA,they assume a relationship ,not mentioned,NA,no,yes,not sure,not clear what would constitute evidence or not,seasonal mean temp (separate from GSL),no,NA,NA,NA,NA,NA,"no, not relevant",,,"model on tree line, not related to growth",
michelot2012,emw_withkp,france,temperate forests,3,"Fagus sylvatica, Quercus petreaea, Pinus sylvestris","one site (Fontainebleu) 15 trees, 3 per species in one experimental forest",permanent plot,within individuals,15,"dendrometer, intra-annual core (xylogeneis)",wood phenology,onset wood,NA,end wood,NA,yes,start to end,end metric,yes,NA,yes,"pg 1040, Fig 5",NA,yes,NA,NA,yes,NA,no,NA,NA,NA,NA,yes - growth,NA,yes - growth,NA,species,yes,They compare veg phenology with wood phenology also. ,,,they also kind of looked at carbon allocation at different dates a little bit (NSC analysis),ifyes_whichendgenous
michelot2012,emw_withkp,france,temperate forests,3,"Fagus sylvatica, Quercus petreaea, Pinus sylvestris","one site (Fontainebleu) 15 trees, 3 per species in one experimental forest",permanent plot,within individuals,15,"dendrometer, intra-annual core (xylogeneis)",wood phenology,onset wood,NA,end wood,NA,yes,start metric only,NA,no,NA,yes,pg 1040 (top right paragraph),NA,no,NA,"pg 1040 stats, I agree with authors",no data for this,NA,no,NA,NA,NA,NA,yes - growth,NA,yes - growth,NA,species,yes,,,,,
