paper_id,who_entered,biome,species_num,species_list,study_scale,study_type,study_level,rep_number,growth_metric,gsl_metric,gsl_start_metric,gsl_end_metric,authorsthink_evidence_gslxgrowth,authorsthink_evidence_gslxgrowth_notsure,authorsthink_evidence_gslxgrowth_suitabledays_or_starttoend,authorsthink_teststatistic,authorsthink_ALTteststatistic:,teststatistic_where,youthink_evidence_gslxgrowth,youthink_evidence_gslxgrowth_notsure,ifyouthink_no_why,authorslooked_externalfactors,authorslooked_externalfactors_notsure,authorsfoundevidencefor_externalfactors,authorsfoundevidencefor_externalfactors_notsure,ifyes_whichexternal,authorslooked_endogenousfactors,authorslooked_endogenousfactors_notsure,authorsfoundevidencefor_endogenousfactors,authorsfoundevidencefor_endogenousfactors_notsure,ifyes_whichendogenous,double_entry,excellent_study,big_problems,missing_something_major,notes,notes_specific_columns
Keenan et al 2014,Alana,Temperate ,NA,NA,Eastern US forests,"remote sensing, flux tower",across species,"2 sites had measurements of individual trees, N not given",carbon flux,"NDVI/greenness, CO2 assimilation","onset vegetative, 'Phenological Assessment of Trends'","end vegetative, 'Phenological Assessment of Trends'",yes,NA,start to end,no,maybe? I can't find a direct test,NA,yes,NA,NA,yes,NA,yes,NA,temp,no,NA,NA,NA,NA,yes,no,,,,
Drew & Downes 2018,Alana,Temperate,1,Pinus radiata,"2 sites, Australia","dendrometer, microcore",across years within individuals,can't find N!,dendrometer diameter,wood phenology,wood phenology (radial growth onset),wood phenology (radial growth stop),yes,NA,growth_suitabledays,no,no,NA,yes,NA,NA,yes,NA,yes,NA,stand density and thinning method,no,NA,NA,NA,NA,no,no,,may or may not belong in the table…,"Not really a gorwth phenology staudy they were looking at thinning treatments, but more days of growth = more growth. growth never stopped at one site, just slowed over winter",
kolar2016,CJC,temperate forest,1,Fagus sylvatica,20 years of phenology data,tree ring,across years within sites,10 trees for phenology; 17 for tree ring,annual core,plant vegetative phenology,SOS,EOS,no,NA,starttoend,NA,NA,NA,no,NA,there isn’t relationship ,yes - both gsl and growth,NA,yes - growth,NA,temperature and soil water content,no,NA,NA,NA,NA,no entered correctly,pretty good,no,I just wish they had more reps and more sites or looked at something different but 20 years of data is a lot and pretty darn good!,"they found warmer spring temperatures led to earlier SOS, warmer fall temps led later EOS. Warmer spring temps decreased growth but more precip and soil water availability increased growth",
delpierre2017,CJC,temperate forest,3,"Quercus robur, Quercus petraea and Fagus sylvatica ","5 years over 35 populations, representing >1200 dominant and co-dominant trees of three species ",,permenant plot,34 sites observed for 5 years ,height,plant vegetative phenology,SOS,EOS,maybe,it's more about phenological rank than actual growing season length,starttoend,yes,NA,fig 7c,no,NA,"it's not about the actual GSL, it's about the phenological rank - so finding relationships between earlier budburst or later leafout but not full GSL",yes - gsl,NA,yes - gsl,NA,soil water content,no,NA,NA,NA,NA,no entered correctly,nah - it's not exactly related to what we're looking at ,no,They're more interested in phenological ranks and how earlier leafout species take advantage of early spring resources and grow more and then later leafout species have end of season resources and grow more but individuals that have longer GLS don't show evidence of more growth,,
delpierre2017,CJC,temperate forest,3,"Quercus robur, Quercus petraea and Fagus sylvatica ","5 years over 35 populations, representing >1200 dominant and co-dominant trees of three species ",,permenant plot,34 sites observed for 5 years ,circumference at breast height,plant vegetative phenology,SOS,EOS,maybe,it's more about phenological rank than actual growing season length,starttoend,yes,NA,fig 7c,no,NA,"it's not about the actual GSL, it's about the phenological rank - so finding relationships between earlier budburst or later leafout but not full GSL",yes - gsl,NA,yes - gsl,NA,soil water content,no,NA,NA,NA,NA,no entered correctly,nah - it's not exactly related to what we're looking at ,no,They're more interested in phenological ranks and how earlier leafout species take advantage of early spring resources and grow more and then later leafout species have end of season resources and grow more but individuals that have longer GLS don't show evidence of more growth,,
mckown2016,CJC ARC combo,temperate forest,1,Populus trichocarpa,54 individuals from 16 genotypes with latitudinal gradient over latitude 49-56,greenhouse,across individuals,54 individuals from 16 genotypes,chlorophyll content,plant vegetative phenology,leaf production,bud set,no,NA,start to end,NA,NA,fig 4,yes,I think it's likely but impossible to know for sure without more details on budburst,NA,yes,NA,no,NA,latitude,yes,NA,no,NA," no for latitude and bud burst timing and lammas are not realted to growth allocation, early buds = height, late buds = more roots",no entered correctly,"no - it doesn't tell us the actual growing season length, more focuses on end of season. It only assesses one species and doesn't look at multiple years",Was very hard to figure out whether early or late buds = more growth or just different allocation,more information on start of growth,NA,"for the authors think suitable days or start to end column, it's not clear if the GSL is actually longer or if they're just looking at budset dates"
mckown2016,CJC ARC combo,temperate forest,1,Populus trichocarpa,55 individuals from 16 genotypes with latitudinal gradient over latitude 49-56,greenhouse,across individuals,54 individuals from 16 genotypes,photosynthetic rate (Amax),plant vegetative phenology,leaf production,bud set,yes,NA,start to end,yes,NA,fig 4,yes,I think it's likely but impossible to know for sure without more details on budburst,NA,yes,NA,no,NA,latitude,yes,NA,no,NA," no for latitude and bud burst timing and lammas are not realted to growth allocation, early buds = height, late buds = more roots",no entered correctly,"no - it doesn't tell us the actual growing season length, more focuses on end of season. It only assesses one species and doesn't look at multiple years",no,more information on start of growth,NA,"for the authors think suitable days or start to end column, it's not clear if the GSL is actually longer or if they're just looking at budset dates"
mckown2016,CJC ARC combo,temperate forest,1,Populus trichocarpa,56 individuals from 16 genotypes with latitudinal gradient over latitude 49-56,greenhouse,across individuals,54 individuals from 16 genotypes,stomatal conductance,plant vegetative phenology,leaf production,bud set,yes,NA,start to end,yes,NA,fig 4,yes,I think it's likely but impossible to know for sure without more details on budburst,NA,yes,NA,no,NA,latitude,yes,NA,no,NA," no for latitude and bud burst timing and lammas are not realted to growth allocation, early buds = height, late buds = more roots",no entered correctly,"no - it doesn't tell us the actual growing season length, more focuses on end of season. It only assesses one species and doesn't look at multiple years",no,more information on start of growth,NA,"for the authors think suitable days or start to end column, it's not clear if the GSL is actually longer or if they're just looking at budset dates"
mckown2016,CJC ARC combo,temperate forest,1,Populus trichocarpa,57 individuals from 16 genotypes with latitudinal gradient over latitude 49-56,greenhouse,across individuals,54 individuals from 16 genotypes,water-use efficiencty,plant vegetative phenology,leaf production,bud set,no,NA,start to end,NA,NA,fig 4,yes,I think it's likely but impossible to know for sure without more details on budburst,NA,yes,NA,no,NA,latitude,yes,NA,no,NA," no for latitude and bud burst timing and lammas are not realted to growth allocation, early buds = height, late buds = more roots",no entered correctly,"no - it doesn't tell us the actual growing season length, more focuses on end of season. It only assesses one species and doesn't look at multiple years",no,more information on start of growth,NA,"for the authors think suitable days or start to end column, it's not clear if the GSL is actually longer or if they're just looking at budset dates"
mckown2016,CJC ARC combo,temperate forest,1,Populus trichocarpa,58 individuals from 16 genotypes with latitudinal gradient over latitude 49-56,greenhouse,across individuals,54 individuals from 16 genotypes,LMA,plant vegetative phenology,leaf production,bud set,no,NA,start to end,NA,NA,fig 4,yes,I think it's likely but impossible to know for sure without more details on budburst,NA,yes,NA,no,NA,latitude,yes,NA,no,NA," no for latitude and bud burst timing and lammas are not realted to growth allocation, early buds = height, late buds = more roots",no entered correctly,"no - it doesn't tell us the actual growing season length, more focuses on end of season. It only assesses one species and doesn't look at multiple years",no,more information on start of growth,NA,"for the authors think suitable days or start to end column, it's not clear if the GSL is actually longer or if they're just looking at budset dates"
