paper_id,who_entered,biome,species_num,species_list,study_scale,study_type,study_level,rep_number,growth_metric,gsl_metric,gsl_start_metric,gsl_end_metric,authorsthink_evidence_gslxgrowth,authorsthink_evidence_gslxgrowth_notsure,authorsthink_evidence_gslxgrowth_suitabledays_or_starttoend,authorsthink_teststatistic,authorsthink_ALTteststatistic:,teststatistic_where,youthink_evidence_gslxgrowth,youthink_evidence_gslxgrowth_notsure,ifyouthink_no_why,authorslooked_externalfactors,authorslooked_externalfactors_notsure,authorsfoundevidencefor_externalfactors,authorsfoundevidencefor_externalfactors_notsure,ifyes_whichexternal,authorslooked_endogenousfactors,authorslooked_endogenousfactors_notsure,authorsfoundevidencefor_endogenousfactors,authorsfoundevidencefor_endogenousfactors_notsure,ifyes_whichendogenous,double_entry,excellent_study,big_problems,missing_something_major,notes,notes_specific_columns
Chen2000,AKE&JHRL,temperate forest ,No species listed,NA,All of Canada,synthesis,across years (1895-1996),100,NPP (from InTEC - integrated terrestrial ecosystem carbon budget),Mar-May Temperature,none,none,no,NA,NA,NA,"The authors used their model (which includes temperature, n-deposition, CO2 and disturbance as explanatory variables for NPP) to calculate the contribution of climate change / a warmer spring on NPP, and found that NPP & carbon balanace had increased due to climate change.","Table 2, Fig. 7",no,NA,"they did not report a start and end of growing season and they lump all effects of climate change  (including ""growing season length, net N mineralization,  N fixation"" together in their reporting so it is difficult to pull out only effects of increased GSL)",yes - growth (NPP),NA,yes - growth (NPP),NA,"temperature, CO2, N, disturbance",no,NA,NA,NA,NA,,no- that wasn't the goal of their study, it wasn't really explained well enough to fully assess the assumptions and data ,"This study wasn't super relevant to our specific question, so not much to say here (without asking for a whole scale change in the entire study).",,
Finzi2020,AKE&JHRL,Temperate deciduous forests,>4,"Acer rubra, Quercus rubra, Pinus strobus, Tsuga canadensis","100's of plots, flux towers, and warming experiment data at Harvard Forest ( long-term ecological research site), in four different locations collectively covering ~ 40 km2, ",synthesis,across years within sites,23,"NEP (net ecosystem production, calculated from flux towers)",fluxnet derived - the period between the first and last day of the year when NEP exceeded 30% of the mean maximum daily NEP,onset ecosystem productivity (first day daily NEP falls above 30% of maximum),end ecosystem productivity (first day daily NEP falls below 30% of maximum after onset),not sure,authors use a different definition of SOS and EOS than the strict definition listed in our metadata,start to end,yes,"They found that an earlier onset of vegetative growth increased spring NEP at 2 sites, and a later EOS increased autumn NEP (fig 13). They also found that the duration of the growing season increased over time at the same time that NEP also increased at one site (fig 7d). See page 27 for a discussion of this","Fig 13, pg 19",no,NA,"They chose to partition NEP (spring, autumn) and relate it to SOS and EOS, rather than explore NEP as a function of GSL. I think they would have found a relationship given the direction of the relationships they did find. ",no,NA,no,NA,NA,yes,"species differences/turnover, stand dynamics",NA,NA,NA,,"No. Their goal was not to look for growing season length - growth relationships, but because they were interested in understanding the carbon budget and how it changed over time, they did end up pulling together a lot of the same data. They found a lot of trends with time that suggested increasing GSL is causing increasing growth (e.g. time by GPP, time by GSL), so they could have put it together but they didn't",no,"I wish they had directly quantified the relationship between growing season length (as they defined from NEP) and GPP, they assumed it from time-GPP and time-GSL, as well as SOS spring NEP and EOS autumn NEP relationships… They also had some information on SOS and EOS from long-term phenological observations of 9 trees, and I think they could have done more with that if they also had growth rates (see page 10, figs. 9 and 11)",,
Finzi2020,AKE&JHRL,Temperate deciduous forests,>4,"Acer rubra, Quercus rubra, Pinus strobus, Tsuga canadensis","100's of plots at Harvard Forest ( long-term ecological research site), in four different locations collectively covering ~ 40 km2, ",synthesis,across years within sites,23,annual core,monthly temperature data,none,none,no,NA,NA,no,significant correlations between monthly temperature increment growth,Table S10,no,NA,no SOS or EOS,yes-growth,NA,yes,NA,"max temperature, min temperature, precipitation",no,NA,NA,NA,NA,,"No. Their goal was not to look for growing season length - growth relationships, but because they were interested in understanding the carbon budget and how it changed over time, they did end up pulling together a lot of the same data. They found a lot of trends with time that suggested increasing GSL is causing increasing growth (e.g. time by GPP, time by GSL), so they could have put it together but they didn't",no,,,
Stridbeck2022,AKE&JHRL,Northern deciduous and coniferous forests (Sweden),6,"Pinus sylvestris (Scots pine), Norway spruce (Picea abies), Downy birch (Betula pubescens), European beech (Fagus sylvatica), European oak (Quercus robur), Betula pendula (Silver birch). First three species were used for tree ring analyses, all species for phenology assessment, but birch data merged.",All of Sweden (phenological observations); latitudinal transect in northern half of Sweden (tree ring chronologies),"tree ring (growth), phenology observations (for GSL)",merged individuals within sites across year,"For tree ring data: 4, 3, and 10 chronologies (each chronology with an unspecificied number of individual trees cored) for Norway spruce, Betula pubescens, and Pinus sylvestris (respectively). Phenology data: 13633 observations between 1873-1951 collected at 634 locations and 18555 observations collected between 2008-2021 at 6867 locations. Table A1 and A2 have replicates",annual core,plant vegetative phenology,SOS (budburst),EOS (leaf coloring),no,NA,start to end,no,NA,NA,no,NA,"They both didn't do the right test (didn't correlate GSL with absolute growth), but they also don't interpret their data as indicating growth is changing even thought phenology is changing",yes - growth,NA,yes -growth,NA,temperature,no,NA,NA,NA,NA,yes,no,"We thought they could have done more with their data and addressed the question we are interested in, and instead they did a lot of the typical dendro stuff","yes. they measured phenology and compared it to tree ring data, but because they 1) used different species across phenology and tree ring components; and 2) did not use raw ring widths (instead using detrended indices that were correlated with different month's temperatures, rather than growing season length)","Interestingly, they find that the shifts in autumn phenology are much more variable and in many cases different than expected (shifts to earlier senescence rather than later). While these impacts are not as large as effects on budburst, so that GSL based on phenology is increasing as expected, it does suggest some sort of constraint, external or endogenous, on GSL that presumably would also impact growth.",species_num & species_list: they looked at tree ring data for 3 species and phenology data for 6 species (the same three species + 3 others)
Vitasse2009,AKE&JHRL,temperate deciduous forest,6,"Abies alba, Acer pseudoplatanus, Fagus sylvatica, Fraxinus excelsior, Ilex aquifolium, Quercus petraea","seeds on average from 9 provenances for each species (ranging from 6-13 depending on species) located along 2 elevational gradients in the Pyrenees (French side), planted in 1 common garden at sea level in SW France",provenance trial,across individuals,25 individuals per provenance,height,plant vegetative phenology,SOS (leaf unfolding),EOS (leaf senesence),yes,NA,NA,yes,NA,Table 3,yes,NA,NA,no,NA,NA,NA,NA,yes,NA,yes,NA,"provenance. Specifically they found evidence that provenances differed in both growth and phenology, but they did not test the gsl x growth (table 3) at the provenace level",yes,yes - they are one of the few studies that actually correlated gsl and growth!,no,"In an ideal world, it would have been cool to replicate their common garden in a lot of different places, so they could explore how climatic differences (across sites) interact with local adaptation (provenance) to climate to control growth. Or manipulating climate with warming and watering, to explose the same provenances to longer growing seasons and / or differences in water availability would also have been cool ",,"gsl_metric: The authors conducted tests using GSL, but also conducted separate tests using SOS and EOS as explanatory variables. We have not entered these as separate rows, but these could be."
Zani2020,AKE&JHRL,temperate deciduous forest,6,"Aesculus hippocastanum, Betula pendula, Fagus sylvatica, Quercus robur, Larix decidua, Sorbus aucuparia","Germany, Switzerland, Austria",permanent plot?,across years within individuals,"434,226 observations, 14626 individual time series between 1948 and 2015 (see supplement for number of time series per species)","photosynthesis (total growing-season net daytime photosynthesis, modelled)",plant vegetative phenology,onset vegetative (leafout),end vegetative (senescence),no,NA,NA,NA,NA,NA,no,NA,"they did not explore link between GSL and growth, instead, looked at the relationship between photosynthetic activity (growth) and EOS. So no because they did not explore GSL (although they could have) and because they used photosynthetic activity as a explanatory variable for the response variable EOS",yes,NA,yes - end of season,NA,"temperature (summer, autumn), CO2",yes,NA,yes,NA,greater photosynthesis early in the growing season is associated with earlier senescence,yes,"no. There are some really interesting patterns (this was really similar to the Zohner paper) but their main question was how factors like photosyntehtic activity, environmental variables (CO2, summer temp, summer precip, autumn temp), and SOS affected EOS measured in phenology data.",I'm not sure about assumptions of photosynthesis model…,"I really wished they had looked at the entire length of the growing season rather than just EOS, and related GSL to their growth / photosynthesis measure. ",check fig. 1 in the paper,
Zani2020,AKE&JHRL,temperate deciduous forest,2,"Fagus sylvatica, Spirea japonica",Munich botanical garden,common garden,across & within individuals,"28 Fagus, 31 Spirea (5 year old sapling / seedlings)","photosynthesis rate; measured at leaf- and plant-level)""",plant vegetative phenology,none,"end vegetative (leaf fluorescence, and percentage leaf abscission)",no,NA,NA,NA,NA,NA,no,NA,"they did not explore the link between gsl and growth, only the link between shade and EOS",yes,NA,yes - end of season,NA,sun vs. shade,yes,NA,yes,NA,greater photosynthesis early in the growing season is associated with earlier senescence,yes,"no. Their main question here was whether manipulating the shading (either in whole or half plants) altered photosynthetic activities and EOS, and whether those effects were in the same or opposite. ",no start of season or gls nmetrics- experiment ran from June 1 (shortly after all buds in all individuals had unfolded their leaves) until October 1. also they test for relationship between photosynthesis and senescence date only (not GSL),They missed opportunities to measure SOS and growth,"check fig 2B and C, first 2 columns",
Zani2020,AKE&JHRL,temperate deciduous forest,1,Betula pendula,CHN Terrace / central low elevation Switzerland (outdoors),greenhouse or chamber (technically CHN terrace),across individuals,40 individuals,photosynthesis (leaf and plant-level growing-season),plant vegetative phenology,none,"end vegetative (leaf fluorescence, and percentage leaf abscission)",no,NA,NA,NA,NA,NA,no,NA,"they did not explore the link between gsl and growth, only the link between shade and EOS",yes,NA,yes - end of season,NA,"CO2, warming and their interaction",yes,NA,yes,NA,greater photosynthesis early in the growing season is associated with earlier senescence,yes,"no. Their main question here was whether manipulating temperature altered photosynthetic activities and EOS, and whether these were in the same or opposite directions. ",they test for relationship between photosynthesis and senescence date only (not GSL),They missed opportunities to measure SOS and growth,"check fig 2B and C, last 3 columns",
Zohnerpreprint,AKE&JHRL,northern forests,All (Satellite data),NA,Northern hemisphere,satellite-based phenology data,across years within pixels (500 m pixels from 2001-2018 :MODIS),15-65 years across 15459 pixels,"photosynthesis (from daily photosynthesis calculated from the LPJ and P models, summed per month)",satellite derived (EV1),SOS,EOS,no,NA,NA,NA,NA,NA,no,NA,"they did not explore link between GSL and growth, instead, looked at the relationship between photosynthetic activity (growth) and EOS. So no because they did not explore GSL (although they could have) and because they switched the explanatory and response variables.",no,NA,NA,NA,NA,yes,NA,yes,NA,greater GPP early in the growing season is associated with earlier senescence,,"No. There are some really interesting patterns and lots of data, but in the end quite frustrating because there is a lot that isn't measured and in some cases could have been. The Zohner paper is really relevant to understanding how climate influences the end of season (EOS), as defined by remote sensing data (greenness declines in northern forests), the timing of leaf abscission / senescence (from phenological observations), and the decline of chlorophyll content in leaves of beech. However, they don't directly explore temperature effects or growth responses, but instead explore the effects of photosynthesis / productivity pre and post solstic on EOS... Of course, satellite data and PEP data also don't include growth measurements, so that would have been tough (although maybe they could have done something clever with NDVI integrated under the curve, or with ITRDB data for the PEP analysis), but they coudl certainly have done a better job with their experiment. They also focus entirely on EOS, so it's not always clear how the entire growing season length changes. They do use estimates of photosynthesis to calculate GPP, but they use it as an explanatory rather than a response variable.",hard to interpret the modeled Photosynthesis products,"I really wished they had looked at the entire length of the growing season rather than just EOS. And I wish they had explored how GSL linked to GPP or photosynthesis (so explored GSL, and looked at GPP as a response rather than an explanatory variable)","check figures 2, 3, 4, 5 in the manuscript","authorsfoundevidencefor_endogenousfactors notes: authors found that growth pre solstice advances satellite derived EOS, while growth post solstice delays it. This does suggest some sort of growth / developmental control on EOS, but is unsatisfying since there is no link to GSL"
Zohnerpreprint,AKE&JHRL,temperate deciduous forests (europe),4,"Aesculus hippocastanum, Betula pendula, Fagus sylvatic, Quercus robur","Germany, Switzerland, Austria",permanent plot,across years within individuals,12759 total individual time series (~3000 per species),NDVI/greenness and GPP (gross primary productivity) from MODIS,plant vegetative phenology,onset vegetative,end vegetative,no,NA,NA,NA,NA,NA,no,NA,"they did not explore link between GSL and growth, instead, looked at the relationship between photosynthetic activity (growth) and EOS. So no because they did not explore GSL (although they could have) and because they switched the explanatory and response variables.",yes,NA,yes - length of growing season,NA,temperature (pre solstice),yes,NA,yes,NA,greater photosynthesis early in the growing season is associated with earlier senescence,,"No. There are some really interesting patterns and lots of data, but in the end quite frustrating because there is a lot that isn't measured and in some cases could have been. The Zohner paper is really relevant to understanding how climate influences the end of season (EOS), as defined by remote sensing data (greenness declines in northern forests), the timing of leaf abscission / senescence (from phenological observations), and the decline of chlorophyll content in leaves of beech. However, they don't directly explore temperature effects or growth responses, but instead explore the effects of photosynthesis / productivity pre and post solstic on EOS... Of course, satellite data and PEP data also don't include growth measurements, so that would have been tough (although maybe they could have done something clever with NDVI integrated under the curve, or with ITRDB data for the PEP analysis), but they coudl certainly have done a better job with their experiment. They also focus entirely on EOS, so it's not always clear how the entire growing season length changes. They do use estimates of photosynthesis to calculate GPP, but they use it as an explanatory rather than a response variable.",hard to interpret the modeled Photosynthesis products,I really wished they had looked at the entire length of the growing season rather than just EOS. ,"check figures 2, 3, 4, 5 in the manuscript","authorsfoundevidencefor_endogenousfactors notes: authors found that growth and temperature pre solstice advances phenology based on PEP data, while growth and temperature post solstice delays it. This does suggest some sort of developmental switch in the effects of temperature on EOS, but does not link this to GSL. "
